Alex Abrines,2018-19,25,OKC,NBA,SG,29,2,19.8,1.9,5.3,0.359,1.4,4.3,0.323,0.5,1,0.517,0.49,0.4,0.4,0.923,0.2,1.4,1.6,0.7,0.6,0.2,0.5,1.8,5.6
Jaylen Adams,2018-19,22,ATL,NBA,PG,8,0,3.4,0.3,0.8,0.333,0.3,0.6,0.4,0,0.1,0,0.5,0,0,0,0,0.4,0.4,0.5,0.1,0.1,0.1,0,0.8
Steven Adams,2018-19,25,OKC,NBA,C,37,37,33.8,6.4,10.9,0.591,0,0,0,6.4,10.9,0.592,0.591,2.5,4.6,0.535,4.9,5.3,10.2,1.8,1.4,0.8,1.5,2.5,15.3
Bam Adebayo,2018-19,21,MIA,NBA,C,37,5,21.1,2.9,5.3,0.546,0,0.2,0.167,2.9,5.1,0.558,0.548,1.9,2.7,0.717,2.1,4.8,6.9,2.1,0.6,0.8,1.3,2.7,7.7
DeVaughn Akoon-Purcell,2018-19,25,DEN,NBA,SG,7,0,3.1,0.4,1.4,0.3,0,0.6,0,0.4,0.9,0.5,0.3,0.1,0.3,0.5,0.1,0.4,0.6,0.9,0.3,0,0.3,0.6,1
LaMarcus Aldridge,2018-19,33,SAS,NBA,C,39,39,32.4,8,15.9,0.502,0.1,0.4,0.143,7.9,15.6,0.51,0.503,3.9,4.7,0.83,2.9,5.9,8.8,2.3,0.5,1.1,1.8,2.1,19.9
Rawle Alkins,2018-19,21,CHI,NBA,SG,2,0,2,0.5,2,0.25,0.5,0.5,1,0,1.5,0,0.375,0,0,0,1.5,0,1.5,1,0.5,0,0,0,1.5
Grayson Allen,2018-19,23,UTA,NBA,SG,17,1,9.7,1.2,3.6,0.323,0.6,2.4,0.268,0.5,1.2,0.429,0.411,1.1,1.5,0.72,0.1,0.2,0.3,0.4,0.1,0,0.6,1.1,4.1
Jarrett Allen,2018-19,20,BRK,NBA,C,38,38,26.7,4.4,7.7,0.577,0.1,0.7,0.16,4.3,7,0.617,0.584,2.6,3.6,0.73,2.7,5.6,8.3,1.5,0.6,1.4,1.3,2.4,11.6
Al-Farouq Aminu,2018-19,28,POR,NBA,PF,39,39,30.1,3.2,7.4,0.433,1.4,3.9,0.357,1.8,3.5,0.519,0.528,1.7,2.1,0.838,1.5,6.7,8.2,0.9,0.9,0.4,0.8,2.2,9.5
Justin Anderson,2018-19,25,ATL,NBA,SG,20,0,8.8,1.3,3.2,0.391,0.3,1.5,0.207,1,1.8,0.543,0.438,0.5,0.7,0.769,0.5,1.2,1.7,0.5,0.5,0.3,0.5,1,3.3
Kyle Anderson,2018-19,25,MEM,NBA,SF,37,34,30.1,3.5,6.5,0.548,0.2,0.8,0.258,3.3,5.6,0.591,0.565,0.8,1.4,0.566,1.1,5,6.1,3.1,1.3,0.8,1.3,2.6,8.1
